Date,Open,High,Low,Close,Adj Close,Volume
2017-04-12,67.529999,67.919998,66.320000,66.550003,64.621384,770600
2017-04-13,66.190002,67.389999,66.089996,67.180000,65.233131,675500
2017-04-17,66.980003,67.570000,66.959999,67.269997,65.320511,540200
2017-04-18,66.800003,67.260002,65.550003,66.160004,64.242691,1261200
2017-04-19,66.570000,68.105003,66.570000,67.580002,65.621529,764400
2017-04-20,67.769997,69.300003,67.769997,69.089996,67.087769,817400
2017-04-21,69.239998,69.760002,68.849998,69.239998,67.233429,633800
2017-04-24,69.419998,70.220001,69.410004,69.680000,67.660675,741100
2017-04-25,69.650002,70.459999,69.510002,70.160004,68.126778,894600
2017-04-26,70.330002,70.610001,69.860001,70.209999,68.175316,758900
2017-04-27,70.199997,72.599998,70.000000,72.339996,70.243591,1721400
2017-04-28,74.739998,75.180000,72.300003,73.559998,71.428238,1482100
2017-05-01,74.040001,75.300003,73.650002,74.489998,72.331284,742200
2017-05-02,74.839996,75.000000,68.000000,68.629997,66.641113,2771100
2017-05-03,68.830002,70.500000,68.690002,70.150002,68.117058,1291300
2017-05-04,70.449997,70.449997,69.029999,70.059998,68.029663,923700
2017-05-05,70.059998,71.099998,70.059998,70.980003,68.923004,633700
2017-05-08,70.980003,71.459999,70.160004,70.860001,68.806480,892800
2017-05-09,71.080002,72.000000,70.620003,71.440002,69.369675,511400
2017-05-10,71.660004,71.820000,70.970001,71.459999,69.389091,367000
2017-05-11,70.900002,71.709999,70.790001,71.040001,68.981262,358400
2017-05-12,71.029999,71.480003,71.010002,71.250000,69.185181,567200
2017-05-15,71.650002,72.930000,71.391998,72.470001,70.369827,828400
2017-05-16,72.349998,72.860001,72.199997,72.570000,70.466919,1148700
2017-05-17,72.000000,72.389999,68.070000,68.199997,66.223564,1616300
2017-05-18,68.110001,69.339996,67.379997,68.599998,66.611977,1125400
2017-05-19,69.209999,69.949997,69.125000,69.449997,67.437347,737400
2017-05-22,69.570000,70.209999,69.080002,69.489998,67.476181,617400
2017-05-23,69.650002,69.839996,68.339996,68.550003,66.563423,701700
2017-05-24,68.480003,68.580002,67.500000,68.309998,66.330376,605000
2017-05-25,68.410004,68.849998,65.730003,66.050003,64.135872,1121700
2017-05-26,65.830002,67.169998,64.690002,66.639999,64.708778,1303300
2017-05-30,66.300003,67.349998,65.889999,66.930000,64.990372,746500
2017-05-31,67.099998,68.745003,66.860001,68.529999,66.544014,884200
2017-06-01,68.559998,70.930000,68.489998,69.870003,67.845177,1222900
2017-06-02,69.739998,71.260002,69.550003,71.010002,68.952133,975400
